family,group,metric,n_pos,n_neg,auc,ci_lo,ci_hi,perm_p,bh_q,baseline_auc,delta_auc,delta_ci_lo,delta_ci_hi,beats_baseline,small_n,length_only_auc
By negative evidence,vs demonstrated+matched_internal,pae_inter_mean,23,3,0.15942028985507245,0.028985507246376812,0.3188405797101449,0.056194380561943806,0.23357664233576642,0.6666666666666666,-0.5072463768115942,-0.7971014492753623,-0.1449275362318841,False,False,0.927536231884058
By negative evidence,vs demonstrated+matched_internal,pae_inter_p05,23,3,0.21739130434782608,0.043478260869565216,0.4057971014492754,0.1274872512748725,0.29139943148542286,0.6666666666666666,-0.4492753623188406,-0.7536231884057971,-0.10144927536231885,False,False,0.927536231884058
By negative evidence,vs demonstrated+matched_internal,pae_inter_frac_lt10,23,3,0.3188405797101449,0.043478260869565216,0.6376811594202898,0.3441655834416558,0.5506649335066494,0.6666666666666666,-0.34782608695652173,-0.7536231884057971,0.08695652173913043,False,False,0.927536231884058
By negative evidence,vs demonstrated+matched_internal,pae_inter_frac_lt5,23,3,0.38405797101449274,0.08695652173913043,0.782608695652174,0.5366463353664633,0.6604877973741087,0.6666666666666666,-0.2826086956521739,-0.7391304347826086,0.2028985507246377,False,False,0.927536231884058
By negative evidence,vs demonstrated+matched_internal,contact_prob_sum,23,3,0.7391304347826086,0.5652173913043478,0.9130434782608695,0.21847815218478153,0.43695630436956306,0.6666666666666666,0.07246376811594202,-0.14492753623188404,0.30434782608695654,False,False,0.927536231884058
By negative evidence,vs demonstrated+matched_internal,contact_prob_density,23,3,0.14492753623188406,0.014492753623188406,0.3188405797101449,0.047595240475952406,0.23357664233576642,0.6666666666666666,-0.5217391304347826,-0.8260869565217391,-0.15942028985507245,False,False,0.927536231884058
By negative evidence,vs demonstrated+matched_internal,contact_prob_max,23,3,0.4492753623188406,0.21739130434782608,0.7101449275362319,0.7996200379962004,0.8774589207745892,0.6666666666666666,-0.21739130434782605,-0.4782608695652174,0.07246376811594202,False,False,0.927536231884058
By negative evidence,vs demonstrated+matched_internal,n_contacts_p50,23,3,0.5217391304347826,0.2608695652173913,0.782608695652174,0.9097090290970903,0.9097090290970903,0.6666666666666666,-0.14492753623188404,-0.4492753623188406,0.17391304347826086,False,False,0.927536231884058
By negative evidence,vs demonstrated+matched_internal,contact_participation_ratio,23,3,0.6521739130434783,0.42028985507246375,0.855072463768116,0.4440555944405559,0.5920741259207413,0.6666666666666666,-0.01449275362318836,-0.3478260869565218,0.28985507246376807,False,False,0.927536231884058
By negative evidence,vs demonstrated+matched_internal,plddt_mean,23,3,0.2028985507246377,0.043478260869565216,0.391304347826087,0.11558844115588442,0.29139943148542286,0.6666666666666666,-0.46376811594202894,-0.7536231884057971,-0.10144927536231885,False,False,0.927536231884058
